"","skills"
"1","Regression modeling"
"2","Time series forecasting"
"3","Classification models"
"4","Clustering"
"5","Association analysis"
"6","Parametric  nonparametric statistical testing"
"7","Supervised learning"
"8","Logistic Regression"
"9","GLM"
"10","GBM"
"11","Random Forest"
"12","Survival Regression"
"13","Unsupervised learning"
"14","PCA"
"15","Time Series Forecasting"
"16","Design of Experiments"
"17","Association Rules"
"18","Deep Learning  Neural Networks"
"19","Gradient Boosting"
"20","Ensembling"
"21","Linear"
"22","nonlinear and regularized regression"
"23","Clustering techniques"
"24","Optimization techniques"
"25","Discrete event simulation"
"26","Genetic algorithm"
"27","Linear and non  linear regression"
"28","classification problems"
"29","Big data"
"30","Hadoop"
"31","Hive"
"32","HDFS"
"33","Spark"
"34","Spark ML"
"35","Machine Learning"
"36","Distributed Systems"
"37","Supervised Learning"
"38","Regression"
"39","Boosting"
"40","RF"
"41","Optimization"
"42","CNN"
"43","Image Processing"
"44","KMeans"
"45","Linear Regression"
"46","Generalized Liner Model"
"47","Survival Analysis"
"48","ARIMA"
"49","Principal Component Analysis"
"50","Naive Bayes"
"51","Evolutionary Optimization"
"52","Feature Engineering"
"53","Time Series Analysis  Forecasting"
"54","Linear and non linear regression"
"55","Ridge and Lasso Regression"
"56","Penalised regression models"
"57","linear and non linear optimisation"
"58","goal programming"
"59","Linear and nonlinear regression"
"60","clustering"
"61","Predictive Analytics"
"62","Statistical Modelling"
"63","Theory of Inference"
"64","SupervisedUnsupervised Learning"
"65","Optimization Techniques"
"66","Data Visualization"
"67","Linear programming"
"68","optimization"
"69","Time series"
"70","Enterprise Application Development"
"71","Big Data  Development"
"72","Data Ware housing"
"73","Customer Data Integration"
"74","CDI"
"75","Data Science"
"76","StatisticalEconometric Modelling"
"77","Market Basket Analysis"
"78","Time Series Analysis and Forecasting"
"79","Multivariate Analysis"
"80","Categorical Data Analysis"
"81","Ensemble of Models"
"82","Classification"
"83","Forecasting"
"84","Nave Bayes"
"85","RFM"
"86","Market Basket"
"87","Association Mining"
"88","Ensemble Models"
"89","Recommendation Systems"
